[     671ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://localhost:8081/node_modules/expo-router/entry.bundle?platform=web&dev=true&hot=false&lazy=true&transform.routerRoot=app:17348
[     707ms] [LOG] Running application "main" with appParams:
 {rootTag: #root, hydrate: undefined} 
Development-level warnings: ON.
Performance optimizations: OFF. @ http://localhost:8081/node_modules/expo-router/entry.bundle?platform=web&dev=true&hot=false&lazy=true&transform.routerRoot=app:40281
[     761ms] [WARNING] [expo-av]: Expo AV has been deprecated and will be removed in SDK 54. Use the `expo-audio` and `expo-video` packages to replace the required functionality. @ http://localhost:8081/node_modules/expo-router/entry.bundle?platform=web&dev=true&hot=false&lazy=true&transform.routerRoot=app:199208
[     825ms] [WARNING] props.pointerEvents is deprecated. Use style.pointerEvents @ http://localhost:8081/node_modules/expo-router/entry.bundle?platform=web&dev=true&hot=false&lazy=true&transform.routerRoot=app:23886
[   32807ms] [VERBOSE] [DOM] Password field is not contained in a form: (More info: https://goo.gl/9p2vKq) %o @ http://localhost:8081/login:0
[   77478ms] [LOG] Profile found: admin @ http://localhost:8081/node_modules/expo-router/entry.bundle?platform=web&dev=true&hot=false&lazy=true&transform.routerRoot=app:89985
[   77736ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[   78214ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[   87647ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[   97713ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  107950ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  118089ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  128062ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  137727ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[  147693ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
